country,population
China,1439323774
India,1380004385
United States of America,331002647
Indonesia,273523621
Pakistan,220892331
Brazil,212559409
Nigeria,206139587
Bangladesh,164689383
Russian Federation,145934460
Mexico,128932753
Japan,126476458
Ethiopia,114963583
Philippines,109581085
Egypt,102334403
Viet Nam,97338583
Democratic Republic of the Congo,89561404
Turkey,84339067
Iran (Islamic Republic of),83992953
Germany,83783945
Thailand,69799978
United Kingdom,67886004
France,65273512
Italy,60461828